serialNumber,systemIdentifier,acquirerIPAddress,acquiredPort,TLS
831611064,P00002226,192.168.010.074,2201,1
831611065,P00002227,192.168.010.074,2201,1
831611066,P00002228,192.168.010.074,2201,1
831611067,P00002229,192.168.010.074,2201,1
831611068,P00002230,192.168.010.074,2201,1
831611069,P00002231,192.168.010.075,2201,1
831611070,P00002232,192.168.010.076,2201,1
831611071,P00002233,192.168.010.077,2201,1
831611072,P00002234,192.168.010.078,2201,1
831611073,P00002235,192.168.010.079,2201,1
831611074,P00002236,192.168.010.080,2201,1
831611075,P00002237,192.168.010.081,2201,1
831611076,P00002238,192.168.010.082,2201,1
831611077,P00002239,192.168.010.083,2201,1
831611078,P00002240,192.168.010.084,2201,1
831611079,P00002241,192.168.010.085,2201,1
831611080,P00002242,192.168.010.086,2201,1
831611081,P00002243,192.168.010.087,2201,1
831611082,P00002244,192.168.010.088,2201,1
831611083,P00002245,192.168.010.089,2201,1
831611084,P00002246,192.168.010.090,2201,1
831611085,P00002247,192.168.010.091,2201,1
831611086,P00002248,192.168.010.092,2201,1
831611087,P00002249,192.168.010.093,2201,1
831611088,P00002250,192.168.010.094,2201,1
831611089,P00002251,192.168.010.095,2201,1
831611090,P00002252,192.168.010.096,2201,1
831611091,P00002253,192.168.010.097,2201,1
831611092,P00002254,192.168.010.098,2201,1
831611093,P00002255,192.168.010.099,2201,1
831611094,P00002256,192.168.010.100,2201,1
831611095,P00002257,192.168.010.101,2201,1
831611096,P00002258,192.168.010.102,2201,1
831611097,P00002259,192.168.010.103,2201,1
831611098,P00002260,192.168.010.104,2201,1
831611099,P00002261,192.168.010.105,2201,1
831611100,P00002262,192.168.010.106,2201,1
831611101,P00002263,192.168.010.107,2201,1
831611102,P00002264,192.168.010.108,2201,1
831611103,P00002265,192.168.010.109,2201,1
831611104,P00002266,192.168.010.110,2201,1
831611105,P00002267,192.168.010.111,2201,1
831611106,P00002268,192.168.010.112,2201,1
831611107,P00002269,192.168.010.113,2201,1
831611108,P00002270,192.168.010.114,2201,1
831611109,P00002271,192.168.010.115,2201,1
831611110,P00002272,192.168.010.116,2201,1
831611111,P00002273,192.168.010.117,2201,1
831611112,P00002274,192.168.010.118,2201,1
831611113,P00002275,192.168.010.119,2201,1
831611114,P00002276,192.168.010.120,2201,1
